"","Date","Geography","Cases","Cases7d","Casescm","Deaths","Deaths7d","Deathscm"
"1093",2020-12-12,"Chicago",912,1553.14285714286,187524,21,27.2857142857143,3929
"1094",2020-12-12,"Cook",3457,3378.28571428571,349461,31,48.5714285714286,7001
"1095",2020-12-12,"Illinois",8732,8808.85714285714,841402,126,142.428571428571,14176
"1096",2020-12-12,"US",201681,203816.857142857,15404889,2749,2293.71428571429,290133
"1097",2020-12-13,"Chicago",611,1539.14285714286,188135,22,26.7142857142857,3951
"1098",2020-12-13,"Cook",2948,3343.71428571429,352409,28,49.2857142857143,7029
"1099",2020-12-13,"Illinois",7236,8768.28571428571,848638,115,148,14291
"1100",2020-12-13,"US",243209,208114.285714286,15648098,2996,2375.14285714286,293129
"1101",2020-12-14,"Chicago",1463,1453.28571428571,189598,21,24.8571428571429,3972
"1102",2020-12-14,"Cook",3058,3253.42857142857,355467,88,53.1428571428571,7117
"1103",2020-12-14,"Illinois",7211,8557.85714285714,855849,103,150.142857142857,14394
"1104",2020-12-14,"US",212577,209077.142857143,15860675,2277,2371.42857142857,295406
"1105",2020-12-15,"Chicago",1622,1391.28571428571,191220,19,22.7142857142857,3991
"1106",2020-12-15,"Cook",2547,3258.57142857143,358014,13,50.4285714285714,7130
"1107",2020-12-15,"Illinois",7335,8475.14285714286,863184,115,146,14509
"1108",2020-12-15,"US",180420,210081.714285714,16041095,1434,2418.14285714286,296840
"1109",2020-12-16,"Chicago",1385,1338.71428571429,192605,26,22.4285714285714,4017
"1110",2020-12-16,"Cook",2103,3146.28571428571,360117,38,46.7142857142857,7168
"1111",2020-12-16,"Illinois",7085,8309.14285714286,870269,146,141.285714285714,14655
"1112",2020-12-16,"US",204281,212768.571428571,16245376,1754,2450.28571428571,298594
"1113",2020-12-17,"Chicago",1350,1287.85714285714,193955,23,23,4040
"1114",2020-12-17,"Cook",3144,2943.85714285714,363261,67,47.8571428571429,7235
"1115",2020-12-17,"Illinois",8843,7982.28571428571,879112,180,139.142857142857,14835
"1116",2020-12-17,"US",201468,210641.142857143,16446844,2942,2506,301536
"1117",2020-12-18,"Chicago",1299,1234.57142857143,195254,19,21.5714285714286,4059
"1118",2020-12-18,"Cook",2759,2859.42857142857,366020,76,48.7142857142857,7311
"1119",2020-12-18,"Illinois",7401,7691.85714285714,886513,180,137.857142857143,15015
"1120",2020-12-18,"US",235805,211348.714285714,16682649,3424,2510.85714285714,304960
"1121",2020-12-19,"Chicago",858,1226.85714285714,196112,23,21.8571428571429,4082
"1122",2020-12-19,"Cook",2804,2766.14285714286,368824,25,47.8571428571429,7336
"1123",2020-12-19,"Illinois",7545,7522.28571428571,894058,108,135.285714285714,15123
"1124",2020-12-19,"US",229915,215382.142857143,16912564,3443,2610,308403
"1125",2020-12-20,"Chicago",584,1223,196696,29,22.8571428571429,4111
"1126",2020-12-20,"Cook",2264,2668.42857142857,371088,39,49.4285714285714,7375
"1127",2020-12-20,"Illinois",6013,7347.57142857143,900071,79,130.142857142857,15202
"1128",2020-12-20,"US",402270,238105.142857143,17314834,2747,2574.42857142857,311150
"1129",2020-12-21,"Chicago",1470,1224,198166,26,23.5714285714286,4137
"1130",2020-12-21,"Cook",1920,2505.85714285714,373008,70,46.8571428571429,7445
"1131",2020-12-21,"Illinois",4705,6989.57142857143,904776,97,129.285714285714,15299
"1132",2020-12-21,"US",200257,236345.142857143,17515091,2598,2620.28571428571,313748
"1133",2020-12-22,"Chicago",1345,1184.42857142857,199511,17,23.2857142857143,4154
"1134",2020-12-22,"Cook",2352,2478,375360,40,50.7142857142857,7485
"1135",2020-12-22,"Illinois",6226,6831.14285714286,911002,115,129.285714285714,15414
"1136",2020-12-22,"US",197199,238742.142857143,17712290,1570,2639.71428571429,315318
"1137",2020-12-23,"Chicago",1222,1161.14285714286,200733,21,22.5714285714286,4175
"1138",2020-12-23,"Cook",2349,2513.14285714286,377709,49,52.2857142857143,7534
"1139",2020-12-23,"Illinois",6702,6776.42857142857,917704,133,127.428571428571,15547
"1140",2020-12-23,"US",182819,235676.142857143,17895109,1714,2634,317032
"1141",2020-12-24,"Chicago",620,1056.85714285714,201353,21,22.2857142857143,4196
"1142",2020-12-24,"Cook",2387,2405,380096,35,47.7142857142857,7569
"1143",2020-12-24,"Illinois",7081,6524.71428571429,924785,96,115.428571428571,15643
"1144",2020-12-24,"US",195151,234773.714285714,18090260,3148,2663.42857142857,320180
"1145",2020-12-25,"Chicago",162,894.428571428571,201515,20,22.4285714285714,4216
"1146",2020-12-25,"Cook",2117,2313.28571428571,382213,67,46.4285714285714,7636
"1147",2020-12-25,"Illinois",5732,6286.28571428571,930517,156,112,15799
"1148",2020-12-25,"US",221145,232679.428571429,18311405,3347,2652.42857142857,323527
"1149",2020-12-26,"Chicago",960,909,202475,19,21.8571428571429,4235
"1150",2020-12-26,"Cook",1267,2093.71428571429,383480,27,46.7142857142857,7663
"1151",2020-12-26,"Illinois",3291,5678.57142857143,933808,66,106,15865
"1152",2020-12-26,"US",192095,227276.571428571,18503500,2795,2559.85714285714,326322
"1153",2020-12-27,"Chicago",619,914,203094,23,21,4258
"1154",2020-12-27,"Cook",1451,1977.57142857143,384931,49,48.1428571428571,7712
"1155",2020-12-27,"Illinois",3815,5364.57142857143,937623,104,109.571428571429,15969
"1156",2020-12-27,"US",145489,190593.571428571,18648989,1692,2409.14285714286,328014
"1157",2020-12-28,"Chicago",1672,942.857142857143,204766,19,20,4277
"1158",2020-12-28,"Cook",1538,1923,386469,17,40.5714285714286,7729
"1159",2020-12-28,"Illinois",4456,5329,942079,105,110.714285714286,16074
"1160",2020-12-28,"US",178311,187458.428571429,18827300,1296,2223.14285714286,329310
"1161",2020-12-29,"Chicago",1720,996.428571428571,206486,19,20.2857142857143,4296
"1162",2020-12-29,"Cook",1917,1860.85714285714,388386,30,39.1428571428571,7759
"1163",2020-12-29,"Illinois",5648,5246.42857142857,947727,105,109.285714285714,16179
"1164",2020-12-29,"US",145513,180074.714285714,18972813,1334,2189.42857142857,330644
"1165",2020-12-30,"Chicago",1452,1029.28571428571,207938,23,20.5714285714286,4319
"1166",2020-12-30,"Cook",2541,1888.28571428571,390927,67,41.7142857142857,7826
"1167",2020-12-30,"Illinois",7464,5355.28571428571,955191,178,115.714285714286,16357
"1168",2020-12-30,"US",174814,178931.142857143,19147627,1779,2198.71428571429,332423
"1169",2020-12-31,"Chicago",975,1080,208913,22,20.7142857142857,4341
"1170",2020-12-31,"Cook",2725,1936.57142857143,393652,34,41.5714285714286,7860
"1171",2020-12-31,"Illinois",8034,5491.42857142857,963225,133,121,16490
"1172",2020-12-31,"US",199163,179504.285714286,19346790,3366,2229.85714285714,335789
"1173",2021-01-01,"Chicago",266,1094.85714285714,209179,20,20.7142857142857,4361
"1174",2021-01-01,"Cook",0,1634.14285714286,393652,0,32,7860
"1175",2021-01-01,"Illinois",0,4672.57142857143,963225,0,98.7142857142857,16490
"1176",2021-01-01,"US",231427,180973.142857143,19578217,3761,2289,339550
"1177",2021-01-02,"Chicago",1115,1117,210294,21,21,4382
"1178",2021-01-02,"Cook",4290,2066,397942,61,36.8571428571429,7921
"1179",2021-01-02,"Illinois",11994,5915.85714285714,975219,184,115.571428571429,16674
"1180",2021-01-02,"US",228437,186164.857142857,19806654,3280,2358.28571428571,342830
"1181",2021-01-03,"Chicago",645,1120.71428571429,210939,20,20.5714285714286,4402
"1182",2021-01-03,"Cook",1667,2096.85714285714,399609,64,39,7985
"1183",2021-01-03,"Illinois",4463,6008.42857142857,979682,81,112.285714285714,16755
"1184",2021-01-03,"US",167759,189346.285714286,19974413,2423,2462.71428571429,345253
"1185",2021-01-04,"Chicago",1886,1151.28571428571,212825,9,19.1428571428571,4411
"1186",2021-01-04,"Cook",1848,2141.14285714286,401457,40,42.2857142857143,8025
"1187",2021-01-04,"Illinois",5058,6094.42857142857,984740,79,108.571428571429,16834
"1188",2021-01-04,"US",284312,204489.285714286,20258725,2302,2606.42857142857,347555
"1189",2021-01-05,"Chicago",1607,1135.14285714286,214432,16,18.7142857142857,4427
"1190",2021-01-05,"Cook",2530,2228.71428571429,403987,34,42.8571428571429,8059
"1191",2021-01-05,"Illinois",6851,6266.28571428571,991591,125,111.428571428571,16959
"1192",2021-01-05,"US",211444,213908,20470169,1407,2616.85714285714,348962
"1193",2021-01-06,"Chicago",1464,1136.85714285714,215896,13,17.2857142857143,4440
"1194",2021-01-06,"Cook",2687,2249.57142857143,406674,42,39.2857142857143,8101
"1195",2021-01-06,"Illinois",7569,6281.28571428571,999160,137,105.571428571429,17096
"1196",2021-01-06,"US",173375,213702.428571429,20643544,1791,2618.57142857143,350753
"1197",2021-01-07,"Chicago",1382,1195,217278,17,16.5714285714286,4457
"1198",2021-01-07,"Cook",3331,2336.14285714286,410005,51,41.7142857142857,8152
"1199",2021-01-07,"Illinois",8750,6383.57142857143,1007910,176,111.714285714286,17272
"1200",2021-01-07,"US",227369,217731.857142857,20870913,3533,2642.42857142857,354286
"1201",2021-01-08,"Chicago",1216,1330.71428571429,218494,18,16.2857142857143,4475
"1202",2021-01-08,"Cook",3499,2836,413504,44,48,8196
"1203",2021-01-08,"Illinois",9287,7710.28571428571,1017197,123,129.285714285714,17395
"1204",2021-01-08,"US",299562,227465.428571429,21170475,3825,2651.57142857143,358111
"1205",2021-01-09,"Chicago",780,1282.85714285714,219274,17,15.7142857142857,4492
"1206",2021-01-09,"Cook",2487,2578.42857142857,415991,23,42.5714285714286,8219
"1207",2021-01-09,"Illinois",6713,6955.85714285714,1023910,99,117.142857142857,17494
"1208",2021-01-09,"US",277195,234430.857142857,21447670,4176,2779.57142857143,362287
"1209",2021-01-10,"Chicago",502,1262.42857142857,219776,17,15.2857142857143,4509
"1210",2021-01-10,"Cook",1799,2597.28571428571,417790,59,41.8571428571429,8278
"1211",2021-01-10,"Illinois",4713,6991.57142857143,1028623,80,117,17574
"1212",2021-01-10,"US",313516,255253.285714286,21761186,3599,2947.57142857143,365886
"1213",2021-01-11,"Chicago",1362,1187.57142857143,221138,16,16.2857142857143,4525
"1214",2021-01-11,"Cook",1681,2573.42857142857,419471,43,42.2857142857143,8321
"1215",2021-01-11,"Illinois",4778,6951.57142857143,1033401,53,113.285714285714,17627
"1216",2021-01-11,"US",248089,250078.571428571,22009275,3418,3107,369304
"1217",2021-01-12,"Chicago",1091,1113.85714285714,222229,11,15.5714285714286,4536
"1218",2021-01-12,"Cook",2688,2596,422159,21,40.4285714285714,8342
"1219",2021-01-12,"Illinois",6629,6919.85714285714,1040030,116,112,17743
"1220",2021-01-12,"US",220528,251376.285714286,22229803,2071,3201.85714285714,371375
"1221",2021-01-13,"Chicago",1117,1064.28571428571,223346,17,16.1428571428571,4553
"1222",2021-01-13,"Cook",2058,2506.14285714286,424217,27,38.2857142857143,8369
"1223",2021-01-13,"Illinois",5854,6674.85714285714,1045884,97,106.285714285714,17840
"1224",2021-01-13,"US",198788,255006.714285714,22428591,1954,3225.14285714286,373329
"1225",2021-01-14,"Chicago",1053,1017.28571428571,224399,15,15.8571428571429,4568
"1226",2021-01-14,"Cook",2441,2379,426658,14,33,8383
"1227",2021-01-14,"Illinois",6659,6376.14285714286,1052543,88,93.7142857142857,17928
"1228",2021-01-14,"US",217166,253549.142857143,22645757,4117,3308.57142857143,377446
"1229",2021-01-15,"Chicago",1034,991.285714285714,225433,11,14.8571428571429,4579
"1230",2021-01-15,"Cook",2612,2252.28571428571,429270,44,33,8427
"1231",2021-01-15,"Illinois",6641,5998.14285714286,1059184,121,93.4285714285714,18049
"1232",2021-01-15,"US",225573,242979.285714286,22871330,4076,3344.42857142857,381522
"1233",2021-01-16,"Chicago",629,969.714285714286,226062,13,14.2857142857143,4592
"1234",2021-01-16,"Cook",2115,2199.14285714286,431385,44,36,8471
"1235",2021-01-16,"Illinois",5339,5801.85714285714,1064523,130,97.8571428571429,18179
"1236",2021-01-16,"US",226608,235752.571428571,23097938,3891,3303.71428571429,385413
"1237",2021-01-17,"Chicago",398,954.857142857143,226460,15,14,4607
"1238",2021-01-17,"Cook",1704,2185.57142857143,433089,24,31,8495
"1239",2021-01-17,"Illinois",4163,5723.28571428571,1068686,29,90.5714285714286,18208
"1240",2021-01-17,"US",246485,226176.714285714,23344423,3671,3314,389084
"1241",2021-01-18,"Chicago",714,862.285714285714,227174,14,13.7142857142857,4621
"1242",2021-01-18,"Cook",1252,2124.28571428571,434341,30,29.1428571428571,8525
"1243",2021-01-18,"Illinois",3392,5525.28571428571,1072078,50,90.1428571428571,18258
"1244",2021-01-18,"US",212253,221057.285714286,23556676,3557,3333.85714285714,392641
"1245",2021-01-19,"Chicago",1089,862,228263,20,15,4641
"1246",2021-01-19,"Cook",1547,1961.28571428571,435888,19,28.8571428571429,8544
"1247",2021-01-19,"Illinois",4317,5195,1076395,33,78.2857142857143,18291
"1248",2021-01-19,"US",185383,216036.571428571,23742059,1947,3316.14285714286,394588
"1249",2021-01-20,"Chicago",794,815.857142857143,229057,12,14.2857142857143,4653
"1250",2021-01-20,"Cook",1577,1892.57142857143,437465,26,28.7142857142857,8570
"1251",2021-01-20,"Illinois",4819,5047.14285714286,1081214,107,79.7142857142857,18398
"1252",2021-01-20,"US",142240,207958.285714286,23884299,1567,3260.85714285714,396155
"1253",2021-01-21,"Chicago",819,782.428571428571,229876,9,13.4285714285714,4662
"1254",2021-01-21,"Cook",1653,1780,439118,45,33.1428571428571,8615
"1255",2021-01-21,"Illinois",4981,4807.42857142857,1086195,122,84.5714285714286,18520
"1256",2021-01-21,"US",152937,198782.714285714,24037236,2280,2998.42857142857,398435
"1257",2021-01-22,"Chicago",737,740,230613,13,13.7142857142857,4675
"1258",2021-01-22,"Cook",2539,1769.57142857143,441657,44,33.1428571428571,8659
"1259",2021-01-22,"Illinois",7025,4862.28571428571,1093220,95,80.8571428571429,18615
"1260",2021-01-22,"US",187919,193403.571428571,24225155,4368,3040.14285714286,402803
"1261",2021-01-23,"Chicago",584,733.571428571429,231197,9,13.1428571428571,4684
