"","Date","Category","Value","layer"
"301",2020-04-20,"Deaths_Age18_29",0,"DeathsAgeT"
"302",2020-04-21,"Deaths_Age18_29",1,"DeathsAgeT"
"303",2020-04-22,"Deaths_Age18_29",0,"DeathsAgeT"
"304",2020-04-23,"Deaths_Age18_29",1,"DeathsAgeT"
"305",2020-04-24,"Deaths_Age18_29",1,"DeathsAgeT"
"306",2020-04-25,"Deaths_Age18_29",0,"DeathsAgeT"
"307",2020-04-26,"Deaths_Age18_29",1,"DeathsAgeT"
"308",2020-04-27,"Deaths_Age18_29",0,"DeathsAgeT"
"309",2020-04-28,"Deaths_Age18_29",0,"DeathsAgeT"
"310",2020-04-29,"Deaths_Age18_29",1,"DeathsAgeT"
"311",2020-04-30,"Deaths_Age18_29",0,"DeathsAgeT"
"312",2020-05-01,"Deaths_Age18_29",1,"DeathsAgeT"
"313",2020-05-02,"Deaths_Age18_29",0,"DeathsAgeT"
"314",2020-05-03,"Deaths_Age18_29",0,"DeathsAgeT"
"315",2020-05-04,"Deaths_Age18_29",1,"DeathsAgeT"
"316",2020-05-05,"Deaths_Age18_29",1,"DeathsAgeT"
"317",2020-05-06,"Deaths_Age18_29",0,"DeathsAgeT"
"318",2020-05-07,"Deaths_Age18_29",0,"DeathsAgeT"
"319",2020-05-08,"Deaths_Age18_29",0,"DeathsAgeT"
"320",2020-05-09,"Deaths_Age18_29",1,"DeathsAgeT"
"321",2020-05-10,"Deaths_Age18_29",0,"DeathsAgeT"
"322",2020-05-11,"Deaths_Age18_29",0,"DeathsAgeT"
"323",2020-05-12,"Deaths_Age18_29",0,"DeathsAgeT"
"324",2020-05-13,"Deaths_Age18_29",0,"DeathsAgeT"
"325",2020-05-14,"Deaths_Age18_29",0,"DeathsAgeT"
"326",2020-05-15,"Deaths_Age18_29",0,"DeathsAgeT"
"327",2020-05-16,"Deaths_Age18_29",0,"DeathsAgeT"
"328",2020-05-17,"Deaths_Age18_29",0,"DeathsAgeT"
"329",2020-05-18,"Deaths_Age18_29",0,"DeathsAgeT"
"330",2020-05-19,"Deaths_Age18_29",1,"DeathsAgeT"
"331",2020-05-20,"Deaths_Age18_29",1,"DeathsAgeT"
"332",2020-05-21,"Deaths_Age18_29",0,"DeathsAgeT"
"333",2020-05-22,"Deaths_Age18_29",0,"DeathsAgeT"
"334",2020-05-23,"Deaths_Age18_29",1,"DeathsAgeT"
"335",2020-05-24,"Deaths_Age18_29",0,"DeathsAgeT"
"336",2020-05-25,"Deaths_Age18_29",0,"DeathsAgeT"
"337",2020-05-26,"Deaths_Age18_29",0,"DeathsAgeT"
"338",2020-05-27,"Deaths_Age18_29",0,"DeathsAgeT"
"339",2020-05-28,"Deaths_Age18_29",0,"DeathsAgeT"
"340",2020-05-29,"Deaths_Age18_29",0,"DeathsAgeT"
